,gps_height,longitude,latitude,basin,region,extraction_type_class,management_group,payment,quality_group,source_class,waterpoint_type_group,target
153,1481,34.56387749,-1.72068493,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
158,0,34.08915375,-3.12214007,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
164,0,33.16358148,-2.54645921,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,1
168,0,0.0,-2e-08,Lake Victoria,Shinyanga,other,parastatal,other,good,surface,communal standpipe,1
187,0,31.51225219,-1.13959123,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
198,1135,33.50998861,-2.15235319,Lake Victoria,Mara,other,parastatal,other,good,surface,communal standpipe,0
200,0,30.75176889,-2.54922891,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
217,0,33.10016187,-3.81255032,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
225,1201,33.35805782,-2.07269915,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,1
229,0,32.91684591,-2.84922488,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
231,1281,33.00023911,-2.07363796,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
245,0,31.80083428,-1.31490138,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
253,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
256,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,unknown,groundwater,hand pump,0
285,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,other,groundwater,hand pump,1
301,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
302,0,33.02122705,-3.74548548,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
306,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
321,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,0
326,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,1
333,0,33.50643109,-3.28863325,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
346,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
357,0,31.45298632,-2.13334776,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
367,1145,33.46719471,-2.15195843,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,1
370,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,1
383,1362,34.21765613,-2.97432722,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
390,0,33.31855816,-2.6736728,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
404,0,33.09165496,-2.99658524,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
405,0,32.65185323,-3.84954464,Lake Victoria,Shinyanga,manual,commercial,unknown,good,groundwater,hand pump,1
406,0,33.64477524,-2.8630691,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
413,0,30.95668868,-2.7845812999999997,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
416,0,32.50846356,-2.54770471,Lake Victoria,Mwanza,mechanical,user-group,other,good,surface,communal standpipe,1
427,0,31.82735182,-1.21231446,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
433,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
439,0,31.61498498,-1.2126409,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
447,0,33.52797453,-2.82067589,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
462,0,31.52611967,-1.63276881,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
474,0,30.757502799999997,-2.54204907,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
481,0,32.88151654,-3.27751494,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,1
502,0,33.447801500000004,-3.24751324,Lake Victoria,Shinyanga,other,user-group,never pay,good,groundwater,communal standpipe,0
506,1243,33.98362709,-1.48524922,Lake Victoria,Mara,mechanical,user-group,never pay,good,surface,communal standpipe,0
512,0,31.80724315,-1.28454595,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
518,0,33.12878044,-3.7849058,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
521,0,33.60788087,-2.67942163,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
558,0,31.75690383,-2.81886868,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
584,0,33.13340374,-3.23459106,Lake Victoria,Mwanza,manual,user-group,never pay,unknown,groundwater,hand pump,0
592,1818,34.66643661,-1.38298879,Lake Victoria,Mara,manual,commercial,unknown,good,groundwater,hand pump,0
603,0,33.32829159,-3.15937362,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
614,0,32.48102458,-2.34388649,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
616,1267,33.98649901,-1.49075217,Lake Victoria,Mara,mechanical,user-group,never pay,good,surface,communal standpipe,0
619,0,32.20144687,-2.45428074,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
623,0,34.08777811,-3.09536601,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
627,0,31.83004879,-1.28284016,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
659,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,0
667,0,33.52741962,-2.83350351,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
680,0,31.75404436,-1.33369854,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
686,0,30.7932219,-1.36886109,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
695,1249,34.29157805,-1.67766041,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,1
697,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,other,groundwater,hand pump,1
701,1397,34.31717479,-1.83421944,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
705,0,34.25644023,-2.9958472,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
707,0,31.50434571,-1.38578104,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
713,1487,33.96307757,-1.76501198,Lake Victoria,Mara,manual,user-group,other,other,groundwater,hand pump,1
714,0,31.69514651,-2.53075133,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
720,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
733,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
736,0,32.6482678,-3.73395582,Lake Victoria,Shinyanga,manual,user-group,unknown,other,groundwater,hand pump,0
740,0,31.17302557,-1.56028832,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
751,0,30.92891601,-1.34052484,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,1
753,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,parastatal,never pay,good,surface,communal standpipe,1
755,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
760,0,32.98957441,-2.682506,Lake Victoria,Mwanza,mechanical,user-group,other,good,groundwater,communal standpipe,1
764,1356,34.14457925,-2.95651324,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
771,0,31.51247434,-1.54851555,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
786,1414,34.45988708,-1.70540946,Lake Victoria,Mara,other,other,unknown,good,surface,communal standpipe,1
788,1248,34.12826279,-1.98819412,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,1
795,1328,34.17568961,-2.9726865,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
798,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
799,0,30.54632052,-2.8228908,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
802,0,32.09379477,-2.41384324,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,hand pump,1
809,1211,34.04032147,-1.16252824,Lake Victoria,Mara,mechanical,user-group,other,good,surface,communal standpipe,0
813,0,33.1790604,-2.98448801,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
824,0,30.68720619,-1.27761822,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
827,0,33.24674871,-2.51383403,Lake Victoria,Mwanza,other,user-group,never pay,other,groundwater,hand pump,0
839,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
855,0,32.32559467,-2.40172923,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
859,0,31.56852941,-1.52202654,Lake Victoria,Kagera,other,user-group,other,good,surface,communal standpipe,1
861,0,31.54923004,-1.78404463,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
864,0,33.0210039,-3.06488685,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,0
908,0,31.37971801,-1.47901325,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
911,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,parastatal,other,good,groundwater,hand pump,0
919,1523,34.61530249,-1.77944689,Lake Victoria,Mara,other,other,never pay,good,surface,communal standpipe,1
926,0,32.92664058,-3.38385319,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
929,0,31.54565218,-1.79755891,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
939,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
940,1261,33.86953484,-2.00979593,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,0
941,0,33.55167374,-2.5235996,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
956,0,33.59875806,-3.22196269,Lake Victoria,Shinyanga,other,user-group,other,good,groundwater,communal standpipe,0
960,0,0.0,-2e-08,Lake Victoria,Shinyanga,other,parastatal,never pay,good,surface,communal standpipe,0
961,0,33.34648408,-2.96690911,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
965,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
971,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
973,0,31.18131668,-1.4610386999999998,Lake Victoria,Kagera,other,user-group,other,good,surface,communal standpipe,0
982,1681,34.75029153,-1.8313025,Lake Victoria,Mara,other,user-group,other,good,groundwater,hand pump,0
984,0,31.15676686,-1.75251983,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
987,1452,33.99523827,-1.72902152,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
992,0,0.0,-2e-08,Lake Victoria,Shinyanga,other,user-group,other,other,groundwater,hand pump,1
1004,1408,34.52612476,-1.70281431,Lake Victoria,Mara,other,unknown,unknown,unknown,groundwater,communal standpipe,0
1025,0,32.14169344,-2.4380498,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1038,0,31.77895223,-2.46422032,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
1051,1195,34.04220222,-1.12198399,Lake Victoria,Mara,mechanical,user-group,other,good,surface,communal standpipe,0
1054,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,1
1055,0,30.57137878,-2.53530178,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
1074,1195,32.93829975,-2.0449828,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
1078,0,30.45466937,-2.81423432,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
1079,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
1084,0,31.60305482,-1.77016599,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
1094,0,31.55720281,-1.84089912,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
1104,0,33.15450332,-2.80045839,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1108,0,33.48193373,-2.85764234,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1110,0,31.73254996,-2.41536377,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
1113,0,33.30292914,-3.18220007,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
1117,0,34.05614328,-3.09955825,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
1118,0,33.34608706,-2.65081407,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,1
1122,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
1127,0,31.68666434,-2.80907675,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
1133,0,32.96359356,-2.54592077,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1140,0,33.30755142,-3.08537978,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1151,0,30.86352311,-1.43992385,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,0
1153,0,31.59665847,-1.82960898,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
1162,0,31.75510651,-2.42508021,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,1
1167,0,30.87655918,-1.54702151,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,1
1168,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
1180,1145,33.87047576,-1.53070474,Lake Victoria,Mara,other,user-group,unknown,good,surface,communal standpipe,0
1188,0,32.74275693,-2.90068809,Lake Victoria,Mwanza,manual,user-group,never pay,other,groundwater,hand pump,0
1190,0,33.19276272,-2.7512896,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1191,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1194,1387,34.67950766,-2.14924502,Lake Victoria,Mara,mechanical,user-group,unknown,other,groundwater,communal standpipe,0
1195,1645,34.48343707,-1.35061562,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
1217,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1221,1129,33.51619836,-1.83430952,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,0
1225,1674,34.43043496,-1.37279805,Lake Victoria,Mara,manual,commercial,unknown,good,groundwater,hand pump,1
1227,0,30.81384286,-2.45589926,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
1244,0,32.6908744,-2.56849749,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1245,1318,32.99446518,-2.07007443,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,0
1250,0,0.0,-2e-08,Lake Victoria,Mwanza,other,user-group,never pay,good,surface,communal standpipe,1
1252,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,other,groundwater,hand pump,0
1255,0,33.52877101,-3.23259007,Lake Victoria,Shinyanga,manual,user-group,never pay,unknown,groundwater,hand pump,1
1256,0,30.778882399999997,-2.41392966,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,0
1279,0,31.6157464,-1.61934485,Lake Victoria,Kagera,mechanical,user-group,other,good,groundwater,communal standpipe,1
1280,1501,34.65183627,-1.75586539,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
1291,1340,34.04296148,-2.95442908,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
1294,1152,33.27619067,-2.09258685,Lake Victoria,Mara,other,user-group,never pay,other,groundwater,hand pump,0
1303,0,0.0,-2e-08,Lake Victoria,Mwanza,other,other,never pay,good,surface,communal standpipe,0
1317,1262,33.01559667,-2.48708461,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,0
1320,0,30.53731541,-2.85043383,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
1321,0,32.99146079,-2.68187781,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
1322,0,33.37569753,-2.79466512,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1328,0,30.60093967,-1.20693312,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
1333,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
1334,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
1349,0,33.68305952,-3.0631815,Lake Victoria,Shinyanga,other,user-group,never pay,good,surface,communal standpipe,1
1353,1259,34.33086832,-1.96887634,Lake Victoria,Mara,other,other,other,good,surface,communal standpipe,1
1363,1429,34.55879054,-1.74389763,Lake Victoria,Mara,manual,user-group,unknown,good,groundwater,hand pump,0
1369,0,32.69070686,-2.68075027,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1370,0,30.51318212,-2.51309608,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,1
1377,0,30.88305945,-1.50313819,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
1402,0,30.59335173,-2.70927157,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
1405,0,32.90317764,-2.57217327,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1423,0,31.52075955,-1.59719272,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
1424,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,unknown,groundwater,hand pump,0
1428,0,30.94226074,-1.634489,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
1432,1142,33.41179516,-2.15181275,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,0
1436,0,30.49167984,-2.77758751,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
1444,0,32.0621395,-2.39493952,Lake Victoria,Mwanza,manual,commercial,never pay,good,groundwater,hand pump,1
1449,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
1452,0,31.11566327,-1.73409742,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,1
1454,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
1458,0,31.51604465,-2.66484683,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
1459,0,31.75250265,-1.40150264,Lake Victoria,Kagera,other,user-group,never pay,unknown,surface,communal standpipe,0
1469,0,32.73983514,-3.80950198,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
1481,0,33.03179649,-2.98977186,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
1483,0,30.59576791,-2.42986524,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
1497,1296,33.83691526,-1.67334399,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,1
1499,0,31.01439376,-1.68313397,Lake Victoria,Kagera,other,other,never pay,good,groundwater,communal standpipe,1
1508,0,31.11002625,-1.86979865,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
1509,1517,34.60465222,-1.8288033,Lake Victoria,Mara,manual,user-group,never pay,good,groundwater,hand pump,0
1520,1144,33.15583911,-2.12362144,Lake Victoria,Mwanza,other,user-group,never pay,other,groundwater,hand pump,0
1525,0,0.0,-2e-08,Lake Victoria,Shinyanga,other,user-group,other,good,groundwater,hand pump,0
1536,1905,35.5058904,-2.37490497,Lake Victoria,Arusha,other,parastatal,never pay,good,surface,communal standpipe,1
1561,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,unknown,unknown,groundwater,hand pump,0
1571,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,unknown,groundwater,hand pump,0
1600,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,other,good,groundwater,hand pump,1
1602,0,31.17462606,-1.57586197,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
1606,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
1611,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,parastatal,never pay,good,groundwater,hand pump,0
1619,0,32.58099317,-3.66647256,Lake Victoria,Shinyanga,manual,user-group,unknown,other,groundwater,hand pump,0
1632,0,33.00651769,-2.71747406,Lake Victoria,Mwanza,mechanical,parastatal,never pay,good,surface,communal standpipe,0
1642,0,33.37570067,-3.09760824,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
1645,0,34.31779795,-3.09114431,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
1663,0,33.24178391,-2.93377604,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1666,1354,34.1767865,-2.92830443,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
1669,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,other,groundwater,hand pump,1
1673,1241,33.70031153,-1.88292683,Lake Victoria,Mara,manual,user-group,unknown,other,groundwater,hand pump,1
1678,1357,34.18279702,-2.93280293,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
1684,1329,34.09904301,-2.87837578,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
1698,0,31.66907787,-1.33649437,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
1699,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,other,good,groundwater,hand pump,1
1708,0,33.7828455,-3.0665042,Lake Victoria,Shinyanga,other,commercial,other,good,surface,communal standpipe,1
1720,1353,34.35281013,-2.00121526,Lake Victoria,Mara,other,other,never pay,good,surface,communal standpipe,1
1721,0,33.42432817,-2.86257759,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
1727,0,31.78057985,-1.44326511,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
1738,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,0
1739,0,31.45576198,-1.50597428,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
1749,1430,34.55839724,-1.74474664,Lake Victoria,Mara,mechanical,user-group,unknown,other,groundwater,communal standpipe,0
1755,0,30.77155392,-1.36863908,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,0
1762,1723,34.56371152,-1.3522964,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,0
1783,0,30.91683872,-1.50368081,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,1
1784,0,30.91148187,-1.72589687,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,1
1786,1301,34.04928309,-1.27460797,Lake Victoria,Mara,manual,user-group,other,other,groundwater,hand pump,0
1798,0,33.34115646,-3.25778173,Lake Victoria,Mwanza,mechanical,user-group,never pay,good,groundwater,communal standpipe,1
1827,1269,34.29549084,-1.68383362,Lake Victoria,Mara,manual,other,never pay,good,groundwater,hand pump,1
1845,0,31.80473402,-1.34518585,Lake Victoria,Kagera,mechanical,user-group,other,good,groundwater,communal standpipe,1
1847,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,good,groundwater,hand pump,1
1849,1292,34.46493747,-2.06712545,Lake Victoria,Mara,mechanical,other,other,other,groundwater,communal standpipe,0
1869,0,34.25215153,-3.0180734,Lake Victoria,Shinyanga,manual,user-group,never pay,good,groundwater,hand pump,1
1870,1240,34.20290847,-1.30222535,Lake Victoria,Mara,mechanical,user-group,other,other,groundwater,communal standpipe,0
1872,0,30.59572993,-2.44474105,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
1873,0,0.0,-2e-08,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,1
