,gps_height,longitude,latitude,region,lga,population,permit,extraction_type_class,management_group,payment,quality_group,quantity,source_class,waterpoint_type_group,target
714,0,31.69514651,-2.53075133,Kagera,Chato,0,True,motorpump,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
720,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
733,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
736,0,32.6482678,-3.73395582,Shinyanga,Kahama,0,True,handpump,user-group,unknown,milky,dry,groundwater,hand pump,non functional
740,0,31.17302557,-1.56028832,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
751,0,30.92891601,-1.34052484,Kagera,Karagwe,0,True,gravity,other,never pay,good,seasonal,surface,communal standpipe,functional
753,0,0.0,-2e-08,Mwanza,Magu,0,True,motorpump,parastatal,never pay,good,enough,surface,communal standpipe,functional
755,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
760,0,32.98957441,-2.682506,Mwanza,Missungwi,0,True,motorpump,user-group,pay per bucket,good,enough,groundwater,communal standpipe,functional
764,1356,34.14457925,-2.95651324,Shinyanga,Bariadi,500,False,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
771,0,31.51247434,-1.54851555,Kagera,Bukoba Rural,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
788,1248,34.12826279,-1.98819412,Mara,Bunda,348,False,gravity,parastatal,unknown,good,seasonal,surface,communal standpipe,functional
795,1328,34.17568961,-2.9726865,Shinyanga,Bariadi,300,False,handpump,user-group,pay when scheme fails,good,insufficient,groundwater,hand pump,functional
798,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
799,0,30.54632052,-2.8228908,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
802,0,32.09379477,-2.41384324,Mwanza,Sengerema,0,False,submersible,user-group,never pay,good,dry,groundwater,hand pump,functional
809,1211,34.04032147,-1.16252824,Mara,Rorya,386,False,submersible,user-group,pay per bucket,good,enough,surface,communal standpipe,non functional
813,0,33.1790604,-2.98448801,Mwanza,Missungwi,0,True,handpump,user-group,other,good,seasonal,groundwater,hand pump,functional
824,0,30.68720619,-1.27761822,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
827,0,33.24674871,-2.51383403,Mwanza,Magu,0,True,other,user-group,never pay,salty,dry,groundwater,hand pump,non functional
839,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
855,0,32.32559467,-2.40172923,Mwanza,Sengerema,0,True,handpump,user-group,pay monthly,good,insufficient,groundwater,hand pump,functional
859,0,31.56852941,-1.52202654,Kagera,Bukoba Rural,0,True,gravity,user-group,pay monthly,good,enough,surface,communal standpipe,functional
861,0,31.54923004,-1.78404463,Kagera,Muleba,0,True,submersible,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
864,0,33.0210039,-3.06488685,Mwanza,Missungwi,0,False,handpump,user-group,pay annually,good,seasonal,groundwater,hand pump,non functional
908,0,31.37971801,-1.47901325,Kagera,Bukoba Rural,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
911,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,parastatal,other,good,enough,groundwater,hand pump,non functional
926,0,32.92664058,-3.38385319,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
929,0,31.54565218,-1.79755891,Kagera,Muleba,0,True,submersible,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
939,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
940,1261,33.86953484,-2.00979593,Mara,Bunda,180,False,handpump,user-group,unknown,salty,insufficient,groundwater,hand pump,non functional
941,0,33.55167374,-2.5235996,Mwanza,Magu,0,True,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
956,0,33.59875806,-3.22196269,Shinyanga,Maswa,0,False,gravity,user-group,pay per bucket,good,enough,groundwater,communal standpipe,non functional
960,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,gravity,parastatal,never pay,good,seasonal,surface,communal standpipe,non functional
961,0,33.34648408,-2.96690911,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,non functional
965,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
971,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
973,0,31.18131668,-1.4610386999999998,Kagera,Karagwe,0,True,gravity,user-group,pay annually,good,enough,surface,communal standpipe,non functional
984,0,31.15676686,-1.75251983,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
987,1452,33.99523827,-1.72902152,Mara,Musoma Rural,250,True,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
992,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,other,user-group,pay monthly,salty,enough,groundwater,hand pump,functional
1004,1408,34.52612476,-1.70281431,Mara,Serengeti,520,True,gravity,unknown,unknown,unknown,unknown,groundwater,communal standpipe,non functional
1025,0,32.14169344,-2.4380498,Mwanza,Sengerema,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1038,0,31.77895223,-2.46422032,Kagera,Chato,0,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
1051,1195,34.04220222,-1.12198399,Mara,Tarime,300,False,submersible,user-group,pay per bucket,good,enough,surface,communal standpipe,non functional
1054,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
1055,0,30.57137878,-2.53530178,Kagera,Ngara,0,False,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
1074,1195,32.93829975,-2.0449828,Mwanza,Ukerewe,450,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,non functional
1078,0,30.45466937,-2.81423432,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
1079,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
1084,0,31.60305482,-1.77016599,Kagera,Muleba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
1094,0,31.55720281,-1.84089912,Kagera,Muleba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1104,0,33.15450332,-2.80045839,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1108,0,33.48193373,-2.85764234,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1110,0,31.73254996,-2.41536377,Kagera,Chato,0,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
1113,0,33.30292914,-3.18220007,Mwanza,Kwimba,0,True,handpump,user-group,pay monthly,good,insufficient,groundwater,hand pump,functional
1117,0,34.05614328,-3.09955825,Shinyanga,Maswa,0,False,handpump,user-group,other,good,insufficient,groundwater,hand pump,functional
1118,0,33.34608706,-2.65081407,Mwanza,Magu,0,True,motorpump,user-group,never pay,good,enough,groundwater,communal standpipe,functional
1122,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,pay monthly,good,insufficient,groundwater,hand pump,functional
1127,0,31.68666434,-2.80907675,Kagera,Biharamulo,0,True,gravity,user-group,never pay,good,seasonal,surface,communal standpipe,functional
1133,0,32.96359356,-2.54592077,Mwanza,Ilemela,0,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,functional
1140,0,33.30755142,-3.08537978,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1151,0,30.86352311,-1.43992385,Kagera,Karagwe,0,True,gravity,other,never pay,good,seasonal,surface,communal standpipe,non functional
1153,0,31.59665847,-1.82960898,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
1162,0,31.75510651,-2.42508021,Kagera,Chato,0,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
1167,0,30.87655918,-1.54702151,Kagera,Karagwe,0,True,gravity,user-group,pay annually,good,enough,groundwater,communal standpipe,functional
1168,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
1180,1145,33.87047576,-1.53070474,Mara,Musoma Rural,60,True,gravity,user-group,unknown,good,enough,surface,communal standpipe,non functional
1188,0,32.74275693,-2.90068809,Mwanza,Sengerema,0,True,handpump,user-group,never pay,salty,seasonal,groundwater,hand pump,non functional
1190,0,33.19276272,-2.7512896,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1191,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
1194,1387,34.67950766,-2.14924502,Mara,Serengeti,60,True,motorpump,user-group,unknown,salty,insufficient,groundwater,communal standpipe,non functional
1195,1645,34.48343707,-1.35061562,Mara,Tarime,200,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
1217,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1221,1129,33.51619836,-1.83430952,Mara,Musoma Rural,45,True,gravity,parastatal,unknown,good,enough,surface,communal standpipe,non functional
1225,1674,34.43043496,-1.37279805,Mara,Tarime,50,True,handpump,commercial,unknown,good,enough,groundwater,hand pump,functional
1227,0,30.81384286,-2.45589926,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
1244,0,32.6908744,-2.56849749,Mwanza,Sengerema,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
1245,1318,32.99446518,-2.07007443,Mwanza,Ukerewe,1500,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
1250,0,0.0,-2e-08,Mwanza,Geita,0,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,functional
1252,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,salty,insufficient,groundwater,hand pump,non functional
1255,0,33.52877101,-3.23259007,Shinyanga,Maswa,0,False,handpump,user-group,never pay,unknown,seasonal,groundwater,hand pump,functional
<<<<<<< HEAD
1256,0,30.7788824,-2.41392966,Kagera,Ngara,0,False,gravity,user-group,pay monthly,good,insufficient,groundwater,communal standpipe,non functional
=======
1256,0,30.778882399999997,-2.41392966,Kagera,Ngara,0,False,gravity,user-group,pay monthly,good,insufficient,groundwater,communal standpipe,non functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
1279,0,31.6157464,-1.61934485,Kagera,Muleba,0,True,submersible,user-group,pay per bucket,good,enough,groundwater,communal standpipe,functional
1291,1340,34.04296148,-2.95442908,Shinyanga,Bariadi,250,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
1294,1152,33.27619067,-2.09258685,Mara,Bunda,500,False,other,user-group,never pay,salty,insufficient,groundwater,hand pump,non functional
1303,0,0.0,-2e-08,Mwanza,Magu,0,True,gravity,other,never pay,good,insufficient,surface,communal standpipe,non functional
1317,1262,33.01559667,-2.48708461,Mwanza,Ilemela,320,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,non functional
1320,0,30.53731541,-2.85043383,Kagera,Ngara,0,False,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
1321,0,32.99146079,-2.68187781,Mwanza,Missungwi,0,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,non functional
1322,0,33.37569753,-2.79466512,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1328,0,30.60093967,-1.20693312,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,seasonal,groundwater,communal standpipe,functional
1333,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
1334,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
1349,0,33.68305952,-3.0631815,Shinyanga,Maswa,0,False,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,functional
1363,1429,34.55879054,-1.74389763,Mara,Serengeti,300,True,handpump,user-group,unknown,good,insufficient,groundwater,hand pump,non functional
1369,0,32.69070686,-2.68075027,Mwanza,Sengerema,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
1370,0,30.51318212,-2.51309608,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
1377,0,30.88305945,-1.50313819,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,enough,surface,communal standpipe,non functional
1402,0,30.59335173,-2.70927157,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1405,0,32.90317764,-2.57217327,Mwanza,Magu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1423,0,31.52075955,-1.59719272,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
1424,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,unknown,unknown,dry,groundwater,hand pump,non functional
1428,0,30.94226074,-1.634489,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,dry,groundwater,communal standpipe,non functional
1432,1142,33.41179516,-2.15181275,Mara,Bunda,400,False,handpump,user-group,pay when scheme fails,good,dry,groundwater,hand pump,non functional
1436,0,30.49167984,-2.77758751,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1444,0,32.0621395,-2.39493952,Mwanza,Sengerema,0,True,handpump,commercial,never pay,good,insufficient,groundwater,hand pump,functional
1449,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
1452,0,31.11566327,-1.73409742,Kagera,Karagwe,0,True,gravity,user-group,pay annually,good,enough,groundwater,communal standpipe,functional
1454,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,pay when scheme fails,good,enough,groundwater,hand pump,functional
1458,0,31.51604465,-2.66484683,Kagera,Chato,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
1459,0,31.75250265,-1.40150264,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,unknown,insufficient,surface,communal standpipe,non functional
1469,0,32.73983514,-3.80950198,Shinyanga,Kahama,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
1481,0,33.03179649,-2.98977186,Mwanza,Missungwi,0,True,handpump,user-group,pay annually,good,enough,groundwater,hand pump,functional
1483,0,30.59576791,-2.42986524,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
1497,1296,33.83691526,-1.67334399,Mara,Musoma Rural,35,False,gravity,parastatal,unknown,good,seasonal,surface,communal standpipe,functional
1499,0,31.01439376,-1.68313397,Kagera,Karagwe,0,True,gravity,other,never pay,good,enough,groundwater,communal standpipe,functional
1508,0,31.11002625,-1.86979865,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
1520,1144,33.15583911,-2.12362144,Mwanza,Ukerewe,700,True,other,user-group,never pay,salty,insufficient,groundwater,hand pump,non functional
1525,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,other,user-group,other,good,enough,groundwater,hand pump,non functional
1536,1905,35.5058904,-2.37490497,Arusha,Ngorongoro,400,False,gravity,parastatal,never pay,good,seasonal,surface,communal standpipe,functional
1561,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,unknown,unknown,dry,groundwater,hand pump,non functional
1571,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,unknown,unknown,groundwater,hand pump,non functional
1600,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,pay per bucket,good,insufficient,groundwater,hand pump,functional
1602,0,31.17462606,-1.57586197,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
1606,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
1611,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,parastatal,never pay,good,enough,groundwater,hand pump,non functional
1619,0,32.58099317,-3.66647256,Shinyanga,Kahama,0,True,handpump,user-group,unknown,milky,seasonal,groundwater,hand pump,non functional
